"default_code","name","product_id","pvp","precio_lista"
"SHCETB","SHAMPOO CEL TAMB 208 L",177,"1886,15","1571,79"
"SVCTB208","SUPER COOL  VERDE TAMBOR 208,2 LTS",182,"921,02","757,52"
"SCRC4G","SUPER COOL ROJO  CAJAS GALONES 4*3,785 LTS",183,"89,4","74,5"
"SCRTB208","SUPER COOL ROJO  TAMBOR 208,2 LTS",184,"921,02","767,52"
"SCVC4G","SUPER COOL VERDE CAJAS GALON 4 X 3,785 LTS.",185,"89,4","74,5"
"CPXS68DRM","COMPRO XL-S COMPRESSOR FLUID 68 205L DRUM",123,6922,"7405,49"
"PS00P17","PRECISION SYNTHETIC EP00 GREASE 17KG PAIL",155,1726,"1053,05"
"PSHP17","PRECISION SYNTHETIC HEAVY 17KG PAIL",159,1534,1070
"PXLEMBC30","PRECISION XL EMB 10x400G TUBES CASE",160,253,151
"PFCHAHP20","PURITY FG CHAIN OIL HEAVY 20L PAIL",133,1063,"662,28"
"PFCO46P20","PURITY FG COMPRESSOR OIL 46 20L PAIL",125,"1051,7","656,13"
"PFCO68P20","PURITY FG COMPRESSOR OIL 68 20L PAIL",126,"1051,7","656,13"
"PFGEX2C30","PURITY FG2 EXTREME GREASE 30X400GTUBES",137,"1392,47","817,13"
"PFG2C30","PURITY FG2 GREASE 30x400G TUBES CASE",138,"1626,17","769,16"
"PFGSYN2C30","PURITY FG2 SYNTHETIC GREASE 30X400G TUBES",139,2422,"1574,79"
"RESY68ADRU","REFLO SYN 68A LOW TEMP FLUID 55 USG DRUM",120,16926,"10373,8"
"RFLXLADRM","REFLO XL SYNTHETIC BLEND 205 L DRUM",121,8398,"5306,9"
"SYND150DRM","SYNDURO SHB 150 205L DRUM",108,16838,"9877,4"
"SYND220DRM","SYNDURO SHB 220 205L DRUM",111,16838,"9877,4"
"SYND68DRM","SYNDURO SHB 68 205L DRUM",104,16838,"9798,6"
"SYND68P20","SYNDURO SHB 68 20L PAIL",105,1632,"977,49"
"PXL2C30","PRECISION XL EP2 30*400G TUBES CASE",204,"692,96","443,5"
"PXL2P17","PRECISION XL EP2 17 KG PAIL",205,"848,96","543,33"
"PFCHAHP20","PURITY FG CHAIN OIL HEAVY 20L PAIL",133,"1034,81","662,28"
"PFCO46P20","PURITY FG COMPRESSOR OIL 46 20L PAIL",125,"1093,55","656,13"
"PFCO68P20","PURITY FG COMPRESSOR OIL 68 20L PAIL",126,"1093,55","656,13"
"PFGWO68DRM","PURITY FG WHITE OIL 68 205L DRUM",202,"6543,59","4187,9"
"CPXRDRM","COMPRO XL-R COMPRESSOR FLUID 205L DRUM",203,"8932,28","5716,66"
"CPXS68DRM","COMPRO XL-S COMPRESSOR FLUID 68 205L DRUM",123,"7405,49","4739,51"
"CPXS150DRM","COMPRO XL-S COMPRESSOR FLUID 150 205L DRUM",200,"8390,52","5369,93"
"CPXS100DRM","COMPRO XL-S COMPRESSOR FLUID 100 205L DRUM",201,"7405,49","4739,51"
"PFEP220P20","PURITY FG GEAR FLUID 220  20L PAIL",206,"1279,87","819,11"
"PFEP320P20","PURITY FG GEAR FLUID 320  20L PAIL",207,"1279,87","819,11"
"PFEP460P20","PURITY FG GEAR FLUID 460  20L PAIL",208,"1279,87","819,11"
"PDV03006","PDV CILINLUB 460 TB 208 LTS",118,2086,"1814,88"
3042,"PDV ENGRALUB 150 TB 208 LTS",92,2029,"1775,81"
"PDV03043","PDV ENGRALUB 220 TB 208 LTS",94,2150,"1837,71"
"PDV03044","PDV ENGRALUB 320 TAMB 208,2 LTS",97,2119,"1814,88"
"PDV03066","PDV ENGRALUB 460 TAMB 208,2LTS",100,2119,"1828,58"
"PDV03072","PDV ENGRALUB 68 TB 208 LTS",90,2029,"1701,51"
"PDV03045","PDV ENGRALUB 680 TAMB 208,2LTS",101,2380,"1903,9"
"PDV03052","PDV HIDRATRANS 30 AB 208 LTS",43,2268,"2464,14"
"PDV01015","PDV MAXIDIESEL PLUS CF/ 10W TB 2008LTS",41,2116,"1659,05"
"PDV02002","PDV TRANSLUB EP 85W140 TAMB 208,2LTS",38,2044,"1770,38"
"PDV03060","PDV TURBOLUB 68 TB 208 LTS",84,2022,"1674,71"
